id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1551403,Charming flat in North London,2532850,Monika,,Haringey,51.580876367242965,-0.11749290630677199,Entire home/apt,90,2,6,2014-08-26,0.4,1,291
945424,London Crash PAD in North London,5052463,Emma,,Haringey,51.58905519803259,-0.08173153158668128,Entire home/apt,80,2,35,2015-03-25,1.5,1,223
558185,Petal House in Dalston.,2745006,Zoe,,Hackney,51.545825263100106,-0.07275361377723263,Private room,50,1,43,2015-01-11,2.9,3,308
5327653,Quirky Studio Apartment - Ealing,6448073,Katherine,,Ealing,51.51059308292309,-0.31321860006438784,Entire home/apt,56,2,5,2015-04-06,4.1,1,77
5178413,WEMBLEY STADIUM 10 minutes by walk,26536263,Erika,,Brent,51.560319483942926,-0.30191959246249805,Entire home/apt,69,2,0,,,4,284
3448962,Spacious room in heart of Brixton,1130467,Laila,,Lambeth,51.463099279023886,-0.11279032432017583,Private room,49,1,27,2015-04-04,6.4,1,118
717732,Nice room for single people Brixton,3700269,Roy,,Lambeth,51.45768297635054,-0.10747575054261682,Private room,45,1,26,2015-01-31,0.9,1,309
2020288,Penthouse in SE16 with GREAT views!,10385140,Nan,,Southwark,51.49391763884138,-0.039034559361279274,Private room,69,1,9,2014-06-02,0.6,1,0
1089318,Big Terrace Bermondsey Street ★★★★★,2570790,Tara,,Southwark,51.49848671872715,-0.08210320569969863,Entire home/apt,140,3,67,2015-03-31,2.2,2,297
5755830,King size double room in Zone 1,29859043,Maria Paola,,Southwark,51.49624915260902,-0.09655702905444012,Private room,41,1,0,,,1,54
5112872,"Modern apartment, Lewisham",26417531,Ben,,Lewisham,51.46292798855474,-0.014008030309481095,Private room,48,1,0,,,1,62
335154,Excellent flat in peaceful Fulham,1706579,Fiona,,Hammersmith and Fulham,51.468658785394815,-0.20552335646436054,Entire home/apt,100,3,10,2014-10-20,0.3,1,250
98750,FLAT in FULHAM/CHELSEA/KINGS ROAD,520642,Zata,,Hammersmith and Fulham,51.47845079998127,-0.19327928608323647,Entire home/apt,99,1,27,2015-03-09,1.2,1,357
3903325,Great one bed flat in West London,14242021,Olga,,Hammersmith and Fulham,51.490880883252835,-0.21145727296332517,Entire home/apt,75,4,3,2014-10-31,0.5,1,184
3300170,"At Knightsbridge,  sleeps up to 5 ",15761322,David,,Kensington and Chelsea,51.497907579794095,-0.16474792537698704,Entire home/apt,129,1,11,2015-03-09,1.6,1,337
5844666,An exceptional flat in Notting Hill,2667791,Keli,,Kensington and Chelsea,51.50763134612038,-0.2010798390448009,Entire home/apt,225,4,0,,,4,358
4260226,Trendy Warehouse Conversion,495494,Sue,,Hackney,51.526958174385236,-0.08739837526553654,Entire home/apt,165,3,1,2014-10-11,0.2,1,6
3306596,Amazing double room Fulham Broadway,15968413,Lavinia,,Hammersmith and Fulham,51.48226221848308,-0.20057862831355336,Private room,65,2,19,2015-02-28,2.2,1,364
278852,Double bedroom in a fun houseshare!,1454568,Inara,,Tower Hamlets,51.52034553352934,-0.010986298688563658,Private room,32,1,35,2015-03-09,0.9,1,347
5444676,Private Room in heart of Fulham,28240535,Corinna,,Hammersmith and Fulham,51.47470190908323,-0.2095982992420207,Private room,70,1,0,,,1,243
4802889,Room available in Shoreditch,3090485,Justin,,Hackney,51.53022567485265,-0.08145554711800514,Private room,65,2,0,,,1,42
3120012,Lovely Home in Trendy Hackney,15850596,James,,Hackney,51.54591567976395,-0.049802793529913666,Entire home/apt,95,3,10,2015-01-05,1.5,1,212
4390266,Peaceful room in exciting East End,6232926,(We Are) Charlie & Charly,,Hackney,51.54082144201787,-0.04918543331435576,Private room,40,1,1,2015-01-27,0.4,1,96
5542837,(52marW) Entire flat-Hackney zone 2,24933443,Amelie,,Hackney,51.54235417436554,-0.05764071116362126,Entire home/apt,119,1,0,,,13,326
789371,1 x bed Stoke Newington/Hackney apt,4140673,Letitia,,Hackney,51.55611990458213,-0.07481154313792035,Entire home/apt,65,2,2,2014-06-10,0.1,1,103
4980294,Luxury Cottage ,25674406,Maria,,Haringey,51.59687364618631,-0.11445496559642954,Entire home/apt,173,1,0,,,1,262
5716147,SKYLOFT - ULTIMATE LONDON PENTHOUSE,904192,Daniel,,Westminster,51.49176483529478,-0.12477954146057206,Entire home/apt,5000,1,0,,,2,365
60223,LARGE DOUBLE BEDROOM.,289965,Toyin,,Ealing,51.496213956005306,-0.3116091037481749,Private room,40,2,13,2015-03-18,0.3,2,280
3199562,LARGE Lounge Dining room available ,15439082,Daniel,,Barnet,51.63027615584833,-0.2686076207323519,Shared room,65,1,3,2014-10-19,0.3,3,365
3518806,Cosy double room in mews cottage,17717661,Maggie,,Waltham Forest,51.58385925903562,-0.003103016919196591,Private room,45,1,10,2015-03-25,1.6,1,365
1250142,Beautiful Victorian Home ,5032252,Becky,,Waltham Forest,51.56224685989736,-0.001255747099489787,Entire home/apt,100,5,11,2015-04-05,0.6,1,73
5369929,Stuio Apartment Gants Hill,27835412,Faisal,,Redbridge,51.57448889331513,0.06678179277904649,Entire home/apt,70,1,0,,,1,23
221860,Charming room in a great house.,1151374,Ken,,Lambeth,51.4645449474692,-0.09753824355588259,Private room,35,2,2,2015-04-01,0.8,2,270
2773851,Single Room in new built flat ,12687366,Valentina,,Lambeth,51.47485796911343,-0.11826601475138124,Private room,45,1,0,,,1,134
3798099,Sunny room in zone 2 (room 3),2557034,Ona,,Lambeth,51.470793203726615,-0.10185225887780974,Private room,35,1,15,2015-01-24,2.0,3,292
1485962,SERENITY - EXCELLENT LOCATION ,7948353,Ann,,Lambeth,51.441212505960955,-0.09503807477398173,Private room,41,1,4,2014-09-16,0.2,2,365
4442655,"Sunny, Central Brixton Flat",20792203,Sarah,,Lambeth,51.46064199654967,-0.10962323481049865,Entire home/apt,155,1,3,2015-01-02,0.6,1,348
1384450,"Private room, Brixton London",7493237,TalmaRoad,,Lambeth,51.46049365348441,-0.1113788168392865,Private room,65,5,0,,,1,365
1148704,Private room in London,6297474,Andres,,Lambeth,51.4679726344198,-0.11482464233702358,Private room,60,1,0,,,1,365
3276457,"**50% REDUCED** Apart,LONDON ZONE1 ",16564565,Mamoon,,Lambeth,51.5065208071874,-0.10746284007328648,Entire home/apt,99,2,2,2014-09-22,0.3,3,365
1088990,Modern and Bright Flat,854008,Toktam,,Southwark,51.47922529646776,-0.08183139718966391,Entire home/apt,62,2,10,2015-01-25,1.0,1,156
5527793,Converted period flat with parking,28667393,Christian,,Lewisham,51.465576071366165,-0.021264738126010044,Private room,40,1,2,2015-03-31,2,1,81
1608887,"Dbl Room The Crescent, close London",59083,Nil And Priyani,,Lewisham,51.44600130781244,0.005017744780146398,Private room,25,2,45,2015-04-01,3.1,1,55
814976,Beautiful South Ken Penthouse,4280930,Ulla,,Westminster,51.49825877618917,-0.17951368006673393,Entire home/apt,450,3,28,2015-01-03,1.0,1,282
536211,charming 2 bedroom home in sw1,2634607,Andrew,,Westminster,51.4903007313991,-0.14233139237661444,Entire home/apt,143,3,71,2015-02-21,2.2,3,281
1580412,Panorama in the heart of E London,523784,James,,Hackney,51.544412857719315,-0.07516738011372806,Entire home/apt,110,4,20,2015-03-24,1.1,1,186
763889,Cosy Islington room near Angel tube,4026838,Kirstie,,Islington,51.530111075160505,-0.10521706845389356,Private room,50,4,16,2015-03-30,0.7,1,63
507165,BEAUTIFUL FLAT CLOSE TO CITY CENTRE,2500012,Tristan,,Tower Hamlets,51.52611813377501,-0.023028958941589094,Entire home/apt,90,2,43,2015-01-03,1.4,1,215
435450,Stylish Victorian house East London,2134196,Claire,,Tower Hamlets,51.52257669270505,-0.032096529820713926,Entire home/apt,95,2,31,2014-12-22,1.1,1,31
4790804,Amazing flat in trendy Shoreditch,8109053,Daniel,,Tower Hamlets,51.532696252324804,-0.06056936740150273,Entire home/apt,79,2,4,2015-02-24,1.3,1,50
3595018,Beautiful room in East London,18112253,Marina,,Tower Hamlets,51.526515161528906,-0.05750061244931566,Private room,35,1,0,,,1,241
499145,"Lovely, modern, flat in Shoreditch",1412824,Rene,,Tower Hamlets,51.52656355296206,-0.06402326960498851,Entire home/apt,80,4,28,2015-02-28,0.9,1,278
2002803,"Double Room, Bethnal G, Two floors",10313281,Thomas,,Tower Hamlets,51.52707205918091,-0.06480548623687797,Entire home/apt,110,1,8,2015-03-30,0.5,1,328
2502777,Beautiful Riverside Room w/ Ensuite,11937670,Riz & Claudia,,Tower Hamlets,51.524683026204755,-0.009612901009388221,Private room,35,1,41,2014-12-25,3.3,1,0
2626152,Bermondsey Street Design Apartment,9009206,Thijs,,Southwark,51.50070730746636,-0.07880375393743057,Entire home/apt,100,2,5,2014-11-17,0.5,1,35
4605522,Modern Family 3BD Home,23865069,Brooke,,Islington,51.564004743544785,-0.11635491353145005,Entire home/apt,150,2,0,,,1,318
4657804,Stylish Apartment in Islington,4604894,Gianmaria,,Islington,51.55161298690218,-0.10818883263317815,Entire home/apt,90,4,0,,,2,107
